Time,Shedding
0,0
1,10.09508014
2,8.265152568
3,6.766934586
4,5.54029745
5,4.536011903
6,3.713772441
7,3.040579708
8,2.489416114
9,2.03816153
10,1.668705524
11,1.36622053
12,1.118566764
13,0.915805009
14,0.749797725
15,0.613882456
16,0.502604445
17,0.411497716
18,0.336905835
19,0.275835168
20,0.225834735
21,0.184897842
22,0.15138155
23,0.12394073
24,0.101474087
25,0.083079956
